range res, 0.0595238
z min, 60
min distance, 2.5
max distance, 200
k strongest, 40
topic_filtered, /Navtech/Filtered
radar_frameid, sensor_est
dataset, mulran
filter type, kstrong
nb guard cells, 40
window size, 1
false alarm rate, 1
input_points_topic, /Navtech/Filtered
scan_registered_latest_topic, radar_registered
scan_registered_keyframe_topic, radar_registered_keyframe
odom_latest_topic, radar_odom
odom_keyframe_topic, radar_odom_keyframe
use raw pointcloud, false
submap keyframes, 4
resolution r,3
resample factor f, 1
min. sensor distance [m], 1.5
min. sensor rot. [deg], 5
use keyframe, true
use initial guess, true
radar reversed, true
disable registration, false
soft velocity constraint, false
compensate, true
cost type, P2P
loss type, Huber
loss limit, 0.100000
covar scale, 1.000000
regularization, 1.000000
weight intensity, true
publish_tf, true
Weight, 4
odom_est_topic, 
gt_topic, 
est_output_dir, /home/daniel/rosbag/CFEAR_EVAL/multi_2022-04-28_1703/mulran_baseline-cfear-3_2022-04-28_1857/job_8/est/
gt_output_dir, /home/daniel/rosbag/CFEAR_EVAL/multi_2022-04-28_1703/mulran_baseline-cfear-3_2022-04-28_1857/job_8/gt/
sequence, Riverside02
job nr, 8
save pcd, 0
method, baseline-cfear-3

nr_frames, 3229
publish_etc avg, 0.498980
publish_etc dev [σ], 0.009627
publish_etc count, 3252
register avg, 14.795728
register dev [σ], 26.781240
register count, 3252
build_normals avg, 2.665831
build_normals dev [σ], 0.215778
build_normals count, 3252
Registration avg, 18.336659
Registration dev [σ], 30.864101
Registration count, 3253
compensate avg, 0.358928
compensate dev [σ], 0.003493
compensate count, 3252
itrs avg, 4.711562
itrs dev [σ], 0.988144
itrs count, 3252
Surface points avg, 337.444205
Surface points dev [σ], 4668.972371
Surface points count, 3253
velocity avg, 8.166387
velocity dev [σ], 30.189043
velocity count, 3252
Filtered points avg, 8847.027359
Filtered points dev [σ], 2236207.784988
Filtered points count, 3253
Filtering avg, 4.813213
Filtering dev [σ], 0.448591
Filtering count, 3253

